Title: The Influential Effect of Blending, Bump, Changing 
       Period, and Eclipsing Cepheids on the Leavitt Law  
Authors: Garcia-Varela A., Munoz J.R., Sabogal B.E., 
         Vargas Dominguez S., Martinez J.
Table: Bi-dimensional classification of OGLE-II Magellanic Clouds Cepheids
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  2 I2     h      RAh     Hour of Right Ascension (J2000)
   4-  5 I2     min    RAm     Minute of Right Ascension (J2000)
   7- 11 F5.2   s      RAs     Second of Right Ascension (J2000)
  13- 13 A1     ---    DE-     Sign of the Declination (J2000)
  14- 15 I2     deg    DEd     Degree of Declination (J2000)
  17- 18 I2     arcmin DEm     Arcminude of Declination (J2000)
  20- 23 F4.1   arcsec DEs     Arcsecond of Declination (J2000)
  25- 32 A8     ---    OGLE    THe OGLE-II field (1)
  34- 39 I6     ---    ID      THe OGLE-II identifier
  41- 48 F8.5   d      Period  Period 
  50- 52 A3     ---    Class   The bi-dimensional class (2)
--------------------------------------------------------------------------------
Note (1): These data were reported for the LMC by 
          Udalski et al. (1999a) [1999AcA....49..223U], and for the SMC by 
          Udalski et al. (1999b) [1999AcA....49..437U].
Note (2): An appended "i" identifies the influential Cepheids.
--------------------------------------------------------------------------------
00 42 06.28 -73 17 56.7 SMC-SC2   92589  8.84122 C1 
00 42 08.23 -72 57 08.0 SMC-SC2  105321  2.74747 B1 
00 42 10.80 -73 21 06.9 SMC-SC2   90389  1.45565 B3 
00 42 11.87 -73 06 59.0 SMC-SC2   99503  1.27595 B2 
00 42 14.80 -73 04 03.7 SMC-SC2  101500  1.47753 B2 
00 42 15.32 -73 42 42.2 SMC-SC2   79531  4.38857 B1 
00 42 22.57 -73 03 24.5 SMC-SC3   35855  1.65111 B2 
00 42 22.58 -73 03 24.5 SMC-SC2  101512  1.65175 B2 
00 42 22.98 -73 22 09.2 SMC-SC2   90387  2.31577 B2 
00 42 23.00 -73 22 09.1 SMC-SC3   15993  2.31584 B2 
00 42 26.55 -72 56 10.6 SMC-SC2  107212  1.75429 B2 
00 42 26.56 -72 56 10.6 SMC-SC3   43000  1.75421 B2 
00 42 33.10 -72 55 46.2 SMC-SC3   43007  2.1663  B3 
00 42 34.89 -73 25 37.2 SMC-SC3   12578  1.29508 B2 
00 42 35.89 -73 03 47.0 SMC-SC3   35940  1.3125  B2 
00 42 41.25 -73 12 06.5 SMC-SC3   28040  2.01134 B2 
00 42 50.56 -73 14 24.4 SMC-SC3   24210  2.18975 B1 
00 42 50.79 -73 30 17.3 SMC-SC3    5683  4.26218 B2 
00 42 51.88 -73 03 11.2 SMC-SC3   35959  1.34458 B1 
00 42 55.55 -73 21 07.1 SMC-SC3   16099  1.08234 B2 
00 42 56.15 -73 09 34.7 SMC-SC3   28026  3.24153 B3 
00 42 56.88 -73 07 19.1 SMC-SC3   32059  2.0082  B1 
00 42 58.41 -73 05 29.1 SMC-SC3   32039  6.30786 B2 
00 42 58.60 -73 07 22.9 SMC-SC3   32057  1.51254 B1 
00 42 59.11 -73 10 03.4 SMC-SC3   28071  1.73099 B3 
00 42 59.22 -73 38 52.7 SMC-SC3      96  1.38054 B1 
00 43 00.25 -73 18 14.2 SMC-SC3   19968  6.22889 C1i
00 43 00.33 -73 10 27.5 SMC-SC3   28166  1.61426 B2 
00 43 00.64 -72 58 09.5 SMC-SC3   42967  1.58771 B2 
00 43 00.72 -73 05 27.9 SMC-SC3   32080  1.3     B2 
00 43 02.21 -73 10 28.6 SMC-SC3   28018  1.85081 B1i
00 43 02.46 -73 08 55.6 SMC-SC3   28219  1.1884  B2 
00 43 04.00 -73 25 18.9 SMC-SC3   12583  1.74621 B2 
00 43 05.29 -73 33 58.9 SMC-SC3    2872  8.39701 C1 
00 43 05.40 -73 12 02.7 SMC-SC3   28042  1.99087 B2 
00 43 05.95 -73 04 54.9 SMC-SC3   35838  2.54151 B1 
00 43 12.45 -73 19 30.8 SMC-SC3   75700 15.7729  C1i
00 43 12.55 -73 19 39.0 SMC-SC3   71472  1.9332  B2 
00 43 14.26 -73 36 05.4 SMC-SC3   57557 10.7129  B1i
00 43 15.51 -72 45 54.8 SMC-SC3  110539  2.18159 B1 
