"field" "id" "period" "subtype" "type"
"471" "SMC-SC5" 140688 3.62708 "B2" "B"
"472" "SMC-SC5" 117684 1.59325 "B2" "B"
"473" "SMC-SC5" 85882 2.05065 "B2" "B"
"474" "SMC-SC5" 79098 1.30747 "B2" "B"
"475" "SMC-SC5" 140908 1.69618 "B2" "B"
"476" "SMC-SC5" 135224 3.34165 "B1" "B"
"477" "SMC-SC5" 117591 1.08808 "B2" "B"
"478" "SMC-SC5" 129453 1.82849 "B2" "B"
"479" "SMC-SC5" 95332 1.43148 "B2" "B"
"480" "SMC-SC5" 140659 11.1929 "C1" "C"
"481" "SMC-SC5" 82171 1.88394 "B1" "B"
"482" "SMC-SC5" 150640 1.6333 "B2" "B"
"483" "SMC-SC5" 106013 1.28815 "B2" "B"
"484" "SMC-SC5" 135277 3.44983 "B3" "B"
"485" "SMC-SC5" 155026 1.81927 "B2" "B"
"486" "SMC-SC5" 100379 2.94259 "B1" "B"
"487" "SMC-SC5" 100478 1.75974 "B2" "B"
"488" "SMC-SC5" 150569 1.68154 "B2" "B"
"489" "SMC-SC5" 111708 1.88638 "B2" "B"
"490" "SMC-SC5" 100284 17.5303 "C1" "C"
"491" "SMC-SC5" 90571 1.62077 "B2" "B"
"492" "SMC-SC5" 135273 2.76991 "B1" "B"
"493" "SMC-SC5" 117481 3.00821 "B1" "B"
"494" "SMC-SC5" 150566 1.60299 "B2" "B"
"495" "SMC-SC5" 155062 1.20998 "B3" "B"
"496" "SMC-SC5" 155034 1.74484 "B2" "B"
"497" "SMC-SC5" 90561 1.48284 "B1" "B"
"498" "SMC-SC5" 135399 1.50862 "B1" "B"
"499" "SMC-SC5" 135466 1.73978 "B2" "B"
"500" "SMC-SC5" 85939 1.55041 "B2" "B"
"501" "SMC-SC5" 117459 4.84604 "B1" "B"
"502" "SMC-SC5" 111570 1.78262 "B2" "B"
"503" "SMC-SC5" 105815 15.6566 "C1" "C"
"504" "SMC-SC5" 100348 3.82398 "B2" "B"
"505" "SMC-SC5" 135299 2.84638 "B1" "B"
"506" "SMC-SC5" 155078 1.24841 "B2" "B"
"507" "SMC-SC5" 129586 1.70774 "B2" "B"
"508" "SMC-SC5" 117526 3.28402 "B2" "B"
"509" "SMC-SC5" 123315 9.93769 "B1" "B"
"510" "SMC-SC5" 105913 2.53219 "B1" "B"
"511" "SMC-SC5" 117410 15.8201 "C1" "C"
"512" "SMC-SC5" 123624 1.67056 "B1" "B"
"513" "SMC-SC5" 123355 3.8334 "B1" "B"
"514" "SMC-SC5" 85942 1.67072 "B2" "B"
"515" "SMC-SC5" 90978 1.22947 "B2" "B"
"516" "SMC-SC5" 79028 3.28323 "B1" "B"
"517" "SMC-SC5" 140700 2.75631 "B2" "B"
"518" "SMC-SC5" 123319 9.02601 "C1" "C"
"519" "SMC-SC5" 140909 1.39567 "B2" "B"
"520" "SMC-SC5" 129452 2.43376 "B1" "B"
"521" "SMC-SC5" 85866 1.42756 "B2" "B"
"522" "SMC-SC5" 105813 28.7823 "B1" "B"
"523" "SMC-SC5" 111547 2.49263 "B2" "B"
"524" "SMC-SC5" 95344 1.55983 "B2" "B"
"525" "SMC-SC5" 105829 16.2959 "C1" "C"
"526" "SMC-SC5" 129408 3.45036 "B1" "B"
"527" "SMC-SC5" 111455 9.18905 "C1" "C"
"528" "SMC-SC5" 82134 3.42048 "B1" "B"
"529" "SMC-SC5" 111675 1.77735 "B2" "B"
"530" "SMC-SC5" 145731 1.70901 "B2" "B"
"531" "SMC-SC5" 123342 3.225 "B2" "B"
"532" "SMC-SC5" 111529 2.35108 "B2" "B"
"533" "SMC-SC5" 155020 2.12511 "B2" "B"
"534" "SMC-SC5" 159097 1.44231 "B2" "B"
"535" "SMC-SC5" 185200 1.15175 "B2" "B"
"536" "SMC-SC5" 220153 1.58659 "B2" "B"
"537" "SMC-SC5" 170168 6.87435 "C1" "C"
"538" "SMC-SC5" 170327 1.60516 "B2" "B"
"539" "SMC-SC5" 220107 1.61173 "B2" "B"
"540" "SMC-SC5" 235140 9.55967 "C1" "C"
"541" "SMC-SC5" 214035 2.42351 "B2" "B"
"542" "SMC-SC5" 166029 4.67236 "B1" "B"
"543" "SMC-SC5" 214098 1.37002 "B2" "B"
"544" "SMC-SC5" 214047 1.68595 "B2" "B"
"545" "SMC-SC5" 220024 3.75969 "B2" "B"
"546" "SMC-SC5" 190473 5.74893 "C1" "C"
"547" "SMC-SC5" 174949 6.48683 "B1" "B"
"548" "SMC-SC5" 208035 2.42296 "B1" "B"
"549" "SMC-SC5" 162464 1.48842 "B2" "B"
"550" "SMC-SC5" 225242 1.89756 "B2" "B"
"551" "SMC-SC5" 185353 1.36088 "B2" "B"
"552" "SMC-SC5" 225257 2.07215 "B2" "B"
"553" "SMC-SC5" 214053 2.08696 "B2" "B"
"554" "SMC-SC5" 196383 32.0072 "B1" "B"
"555" "SMC-SC5" 196441 5.88931 "B1" "B"
"556" "SMC-SC5" 207977 7.16365 "C1" "C"
"557" "SMC-SC5" 175196 1.32361 "B2" "B"
"558" "SMC-SC5" 202183 5.00186 "B1" "B"
"559" "SMC-SC5" 196573 1.43704 "B2" "B"
"560" "SMC-SC5" 235190 2.40948 "B1" "B"
"561" "SMC-SC5" 225253 2.10128 "B1" "B"
"562" "SMC-SC5" 196424 5.95544 "C1" "C"
"563" "SMC-SC5" 170220 2.56346 "B1" "B"
"564" "SMC-SC5" 196641 1.46948 "B2" "B"
"565" "SMC-SC5" 235206 2.49214 "B1" "B"
"566" "SMC-SC5" 166096 1.23657 "B3" "B"
"567" "SMC-SC5" 196642 1.42854 "B1" "B"
"568" "SMC-SC5" 207995 1.38829 "B2" "B"
"569" "SMC-SC5" 162471 2.87671 "B1" "B"
"570" "SMC-SC5" 180060 3.19057 "B1" "B"
"571" "SMC-SC5" 162441 3.37289 "B1" "B"
"572" "SMC-SC5" 213952 27.413 "B1" "B"
"573" "SMC-SC5" 208044 1.29013 "B3" "B"
"574" "SMC-SC5" 202240 1.94635 "B1" "B"
"575" "SMC-SC5" 208062 1.49426 "C1" "C"
"576" "SMC-SC5" 214079 3.07438 "B2" "B"
"577" "SMC-SC5" 180090 1.99276 "B2" "B"
"578" "SMC-SC5" 202249 2.64874 "B2" "B"
"579" "SMC-SC5" 166028 6.54677 "C1" "C"
"580" "SMC-SC5" 225271 2.58269 "B2" "B"
"581" "SMC-SC5" 170323 2.38466 "B2" "B"
"582" "SMC-SC5" 180041 4.40703 "B2" "B"
"583" "SMC-SC5" 260821 6.81805 "C1" "C"
"584" "SMC-SC5" 266152 1.1342 "B3" "B"
"585" "SMC-SC5" 305930 1.4921 "B1" "B"
"586" "SMC-SC5" 294867 1.32182 "B2" "B"
"587" "SMC-SC5" 255938 5.11904 "B2" "B"
"588" "SMC-SC5" 300589 2.26353 "B2" "B"
"589" "SMC-SC5" 316944 1.28612 "B2" "B"
"590" "SMC-SC5" 305990 1.87959 "B2" "B"
"591" "SMC-SC5" 311531 2.49095 "B2" "B"
"592" "SMC-SC5" 256045 1.29622 "B2" "B"
"593" "SMC-SC5" 288724 5.693 "B2" "B"
"594" "SMC-SC5" 271051 15.6474 "C1" "C"
"595" "SMC-SC5" 276975 9.74056 "B2" "B"
"596" "SMC-SC5" 251643 1.82011 "B2" "B"
"597" "SMC-SC5" 288957 1.76533 "B2" "B"
"598" "SMC-SC5" 266150 1.58 "B2" "B"
"599" "SMC-SC5" 247077 6.08491 "C1" "C"
"600" "SMC-SC5" 243302 1.75424 "B2" "B"
"601" "SMC-SC5" 300680 1.62348 "B2" "B"
"602" "SMC-SC5" 316951 1.52056 "B2" "B"
"603" "SMC-SC5" 266145 1.91369 "B2" "B"
"604" "SMC-SC5" 239899 4.17386 "B1" "B"
"605" "SMC-SC5" 265929 4.28522 "B1" "B"
"606" "SMC-SC5" 283017 2.44446 "B1" "B"
"607" "SMC-SC5" 300670 1.01165 "B2" "B"
"608" "SMC-SC5" 277019 2.89942 "B1" "B"
"609" "SMC-SC5" 266013 2.60858 "B1" "B"
"610" "SMC-SC5" 283183 1.57415 "B2" "B"
"611" "SMC-SC5" 266121 1.62874 "B2" "B"
"612" "SMC-SC5" 288858 1.61186 "B2" "B"
"613" "SMC-SC5" 247096 5.11644 "B1" "B"
"614" "SMC-SC5" 277143 1.01336 "B3" "B"
"615" "SMC-SC5" 243163 5.08751 "B1" "B"
"616" "SMC-SC5" 251447 3.44273 "B1" "B"
"617" "SMC-SC5" 300470 4.50051 "B1" "B"
"618" "SMC-SC5" 271055 22.15 "C1" "C"
"619" "SMC-SC5" 271164 2.30034 "B1" "B"
"620" "SMC-SC5" 260976 1.55747 "B1" "B"
"621" "SMC-SC5" 277063 1.90292 "B2" "B"
"622" "SMC-SC5" 316736 6.385 "C1" "C"
"623" "SMC-SC5" 266157 1.50815 "B2" "B"
"624" "SMC-SC5" 283181 1.83477 "B2" "B"
"625" "SMC-SC5" 300595 1.89118 "B2" "B"
"626" "SMC-SC5" 256070 1.4625 "B1" "B"
"627" "SMC-SC5" 282968 5.05251 "B1" "B"
"628" "SMC-SC5" 239893 5.11216 "B1" "B"
"629" "SMC-SC5" 288872 1.46495 "B2" "B"
"630" "SMC-SC5" 311656 1.73234 "B2" "B"
"631" "SMC-SC5" 300663 1.24961 "B2" "B"
"632" "SMC-SC6" 22891 1.5515 "B2" "B"
"633" "SMC-SC5" 266138 1.55154 "B2" "B"
"634" "SMC-SC5" 251522 1.36551 "B2" "B"
"635" "SMC-SC6" 56 1.36553 "B2" "B"
"636" "SMC-SC5" 247223 1.96457 "B1" "B"
"637" "SMC-SC5" 288734 4.88882 "B1" "B"
"638" "SMC-SC5" 294695 7.22815 "C1" "C"
"639" "SMC-SC5" 251506 2.3821 "B1" "B"
"640" "SMC-SC6" 125 2.38203 "B2" "B"
"641" "SMC-SC5" 265991 2.70841 "B1" "B"
"642" "SMC-SC6" 49162 5.02388 "B2" "B"
"643" "SMC-SC5" 294722 5.02371 "B1" "B"
"644" "SMC-SC6" 61429 2.98096 "B2" "B"
"645" "SMC-SC5" 305932 2.98851 "B2" "B"
"646" "SMC-SC6" 55681 34.5562 "B1" "B"
"647" "SMC-SC5" 300442 34.6875 "B1" "B"
"648" "SMC-SC5" 300700 2.2353 "B2" "B"
"649" "SMC-SC6" 55803 2.23523 "B1" "B"
"650" "SMC-SC6" 72589 1.8479 "B1" "B"
"651" "SMC-SC5" 311598 1.84788 "B1" "B"
"652" "SMC-SC6" 55697 7.90391 "C1" "C"
"653" "SMC-SC5" 300454 7.90213 "C1" "C"
"654" "SMC-SC6" 67255 1.70627 "B2" "B"
"655" "SMC-SC5" 311542 1.70624 "B2" "B"
"656" "SMC-SC5" 243240 3.25255 "B1" "B"
"657" "SMC-SC6" 67265 2.03474 "B1" "B"
"658" "SMC-SC5" 311544 2.03469 "B2" "B"
"659" "SMC-SC5" 239909 2.06289 "B1" "B"
"660" "SMC-SC5" 256008 4.82254 "A2" "A"
"661" "SMC-SC5" 283106 1.96251 "B2" "B"
"662" "SMC-SC6" 35572 1.96249 "B1" "B"
"663" "SMC-SC5" 247106 3.64251 "B1" "B"
"664" "SMC-SC5" 288813 1.92043 "B2" "B"
"665" "SMC-SC6" 42342 1.92037 "B1" "B"
"666" "SMC-SC5" 276969 10.1595 "B1" "B"
"667" "SMC-SC6" 28915 10.1566 "C1" "C"
"668" "SMC-SC6" 35489 6.66094 "C1" "C"
"669" "SMC-SC6" 81685 2.27455 "B2" "B"
"670" "SMC-SC6" 35595 1.9743 "B1" "B"
"671" "SMC-SC6" 28967 1.37171 "B2" "B"
"672" "SMC-SC6" 42210 16.4343 "C1" "C"
"673" "SMC-SC6" 22771 4.78666 "B1" "B"
"674" "SMC-SC6" 5266 4.2845 "B1" "B"
"675" "SMC-SC6" 11337 1.40803 "B2" "B"
"676" "SMC-SC6" 85753 1.27084 "B2" "B"
"677" "SMC-SC6" 49238 2.07911 "B3" "B"
"678" "SMC-SC6" 67345 1.72197 "B1" "B"
"679" "SMC-SC6" 42228 6.92119 "C1" "C"
"680" "SMC-SC6" 22739 19.3088 "C1" "C"
"681" "SMC-SC6" 5239 20.4547 "C1" "C"
"682" "SMC-SC6" 35598 2.37556 "B2" "B"
"683" "SMC-SC6" 77415 1.27643 "B2" "B"
"684" "SMC-SC6" 81757 1.49613 "B1" "B"
"685" "SMC-SC6" 81766 1.33101 "B3" "B"
"686" "SMC-SC6" 29034 3.93931 "B1" "B"
"687" "SMC-SC6" 5370 1.47805 "B2" "B"
"688" "SMC-SC6" 22798 2.54817 "B1" "B"
"689" "SMC-SC6" 5263 5.62392 "B1" "B"
"690" "SMC-SC6" 72718 1.58101 "B1" "B"
"691" "SMC-SC6" 49197 2.58151 "B1" "B"
"692" "SMC-SC6" 49142 3.92114 "B1" "B"
"693" "SMC-SC6" 85650 1.53982 "B2" "B"
"694" "SMC-SC6" 35515 3.36099 "B1" "B"
"695" "SMC-SC6" 55804 1.41826 "B2" "B"
"696" "SMC-SC6" 77389 1.55441 "B2" "B"
"697" "SMC-SC6" 17328 1.79707 "B2" "B"
"698" "SMC-SC6" 29112 1.54364 "B2" "B"
"699" "SMC-SC6" 11121 2.05376 "B1" "B"
"700" "SMC-SC6" 35444 41.2443 "B1" "B"
"701" "SMC-SC6" 22838 1.59467 "B2" "B"
"702" "SMC-SC6" 81747 1.49551 "B1" "B"
"703" "SMC-SC6" 17276 12.5491 "C1" "C"
"704" "SMC-SC6" 22959 1.8368 "B1" "B"
"705" "SMC-SC6" 81779 1.87459 "B1" "B"
"706" "SMC-SC6" 85591 7.35108 "C1" "C"
"707" "SMC-SC6" 49127 3.03112 "B2" "B"
"708" "SMC-SC6" 35592 2.42166 "B1" "B"
"709" "SMC-SC6" 55931 1.20254 "B2" "B"
"710" "SMC-SC6" 17334 3.15 "B2" "B"
"711" "SMC-SC6" 91 2.53954 "B1" "B"
"712" "SMC-SC6" 11152 1.88109 "B1" "B"
"713" "SMC-SC6" 67415 1.42292 "B2" "B"
"714" "SMC-SC6" 61436 1.68521 "B2" "B"
"715" "SMC-SC6" 67420 1.94287 "B1" "B"
"716" "SMC-SC6" 55755 1.33128 "B2" "B"
"717" "SMC-SC6" 128740 9.88728 "A1" "A"
"718" "SMC-SC6" 110634 1.50285 "B3" "B"
"719" "SMC-SC6" 167465 8.08903 "A1" "A"
"720" "SMC-SC6" 105395 3.17144 "B1" "B"
"721" "SMC-SC6" 94519 3.11878 "B1" "B"
"722" "SMC-SC6" 171754 3.7932 "B1" "B"
"723" "SMC-SC6" 105522 1.52833 "B2" "B"
"724" "SMC-SC6" 122310 4.08935 "B1" "B"
"725" "SMC-SC6" 105380 2.03099 "B1" "B"
"726" "SMC-SC6" 135500 1.4382 "B2" "B"
"727" "SMC-SC6" 158213 1.48857 "B3" "B"
"728" "SMC-SC6" 122398 1.3894 "B2" "B"
"729" "SMC-SC6" 110728 1.28059 "B2" "B"
"730" "SMC-SC6" 141806 1.77177 "B1" "B"
"731" "SMC-SC6" 105371 3.61844 "B2" "B"
"732" "SMC-SC6" 122308 3.19828 "B2" "B"
"733" "SMC-SC6" 158269 1.29084 "B2" "B"
"734" "SMC-SC6" 89697 3.79004 "A1" "A"
"735" "SMC-SC6" 100192 2.20405 "B1" "B"
"736" "SMC-SC6" 152977 2.31207 "B1" "B"
"737" "SMC-SC6" 162978 2.57091 "B2" "B"
"738" "SMC-SC6" 105323 6.47347 "C1" "C"
"739" "SMC-SC6" 171720 1.96033 "A2" "A"
"740" "SMC-SC6" 141591 6.43304 "B1" "B"
"741" "SMC-SC6" 135342 15.5079 "C1" "C"
"742" "SMC-SC6" 135561 1.33121 "B2" "B"
"743" "SMC-SC6" 128751 5.25297 "B3" "B"
"744" "SMC-SC6" 162928 7.09723 "A1" "A"
"745" "SMC-SC6" 94667 1.9368 "B1" "B"
"746" "SMC-SC6" 122445 1.42706 "B2" "B"
"747" "SMC-SC6" 147681 4.38824 "B1" "B"
"748" "SMC-SC6" 158270 2.36529 "B1" "B"
"749" "SMC-SC6" 135376 2.41269 "B1" "B"
"750" "SMC-SC6" 110612 2.57726 "B1" "B"
"751" "SMC-SC6" 116213 4.31906 "B1" "B"
"752" "SMC-SC6" 158177 2.33718 "B2" "B"
"753" "SMC-SC6" 128933 1.84747 "B1" "B"
"754" "SMC-SC6" 163049 1.45073 "B2" "B"
"755" "SMC-SC6" 162958 2.2596 "B3" "B"
"756" "SMC-SC6" 94627 1.24753 "B2" "B"
"757" "SMC-SC6" 141749 1.49391 "B2" "B"
"758" "SMC-SC6" 158237 1.24873 "B2" "B"
"759" "SMC-SC6" 89698 1.91914 "B1" "B"
"760" "SMC-SC6" 128775 4.16802 "B1" "B"
"761" "SMC-SC6" 110596 3.73729 "B1" "B"
"762" "SMC-SC6" 99943 7.67954 "A2" "A"
"763" "SMC-SC6" 153030 2.13571 "B1" "B"
"764" "SMC-SC6" 167554 1.45899 "B2" "B"
"765" "SMC-SC6" 128843 3.25186 "B1" "B"
"766" "SMC-SC6" 141593 5.72171 "C1" "C"
"767" "SMC-SC6" 210496 1.59823 "B2" "B"
"768" "SMC-SC6" 189956 4.37258 "B2" "B"
"769" "SMC-SC6" 180129 1.59418 "B2" "B"
"770" "SMC-SC6" 189978 2.76107 "B1" "B"
"771" "SMC-SC6" 227256 8.82951 "B2" "B"
"772" "SMC-SC6" 216191 2.26551 "B3" "B"
"773" "SMC-SC6" 237456 1.64835 "B2" "B"
"774" "SMC-SC6" 210548 1.66122 "B3" "B"
"775" "SMC-SC6" 180338 1.80005 "B2" "B"
"776" "SMC-SC6" 180098 3.94112 "B1" "B"
"777" "SMC-SC6" 210438 4.3361 "B1" "B"
"778" "SMC-SC6" 205078 1.64639 "B2" "B"
"779" "SMC-SC6" 199568 14.5721 "C1" "C"
"780" "SMC-SC6" 185340 1.87328 "B2" "B"
"781" "SMC-SC6" 246846 1.56663 "B2" "B"
"782" "SMC-SC6" 251010 2.32636 "B2" "B"
"783" "SMC-SC6" 216123 1.8114 "B2" "B"
"784" "SMC-SC6" 210566 1.31392 "B2" "B"
"785" "SMC-SC6" 190091 1.99688 "B1" "B"
"786" "SMC-SC6" 251044 2.13863 "B1" "B"
"787" "SMC-SC6" 199605 3.96797 "B1" "B"
"788" "SMC-SC6" 175757 3.73973 "B1" "B"
"789" "SMC-SC6" 194887 1.86647 "B2" "B"
"790" "SMC-SC6" 232353 1.73827 "B2" "B"
"791" "SMC-SC6" 180343 2.00304 "B2" "B"
"792" "SMC-SC6" 185344 5.59066 "C2" "C"
"793" "SMC-SC6" 194900 2.22222 "B2" "B"
"794" "SMC-SC6" 242093 2.00387 "B1" "B"
"795" "SMC-SC6" 185247 1.58046 "B2" "B"
"796" "SMC-SC6" 251011 1.40357 "B2" "B"
"797" "SMC-SC6" 221451 8.33252 "C1" "C"
"798" "SMC-SC6" 215967 7.53322 "A1" "A"
"799" "SMC-SC6" 175841 1.46934 "B2" "B"
"800" "SMC-SC6" 227342 1.93362 "B2" "B"
"801" "SMC-SC6" 205004 2.70212 "B1" "B"
"802" "SMC-SC6" 189920 4.66046 "B2" "B"
"803" "SMC-SC6" 216218 1.72853 "B2" "B"
"804" "SMC-SC6" 272411 4.35654 "B1" "B"
"805" "SMC-SC6" 296748 1.84556 "B2" "B"
"806" "SMC-SC6" 296759 1.37724 "B2" "B"
"807" "SMC-SC6" 324146 1.96963 "B1" "B"
"808" "SMC-SC6" 286631 7.49727 "C1" "C"
"809" "SMC-SC6" 277037 1.73458 "B1" "B"
"810" "SMC-SC6" 311193 4.58209 "B1" "B"
"811" "SMC-SC6" 286867 1.65874 "B2" "B"
"812" "SMC-SC6" 291851 1.1683 "B2" "B"
"813" "SMC-SC6" 281621 1.44627 "B2" "B"
"814" "SMC-SC6" 286874 2.38332 "B2" "B"
"815" "SMC-SC6" 301797 1.84298 "B2" "B"
"816" "SMC-SC6" 267882 2.70732 "B2" "B"
"817" "SMC-SC6" 296710 3.26655 "B1" "B"
"818" "SMC-SC6" 255435 1.61172 "B2" "B"
"819" "SMC-SC6" 272611 1.28786 "B2" "B"
"820" "SMC-SC6" 311211 3.4589 "B1" "B"
"821" "SMC-SC6" 259405 1.28003 "B2" "B"
"822" "SMC-SC6" 324150 2.59598 "B1" "B"
"823" "SMC-SC6" 319931 9.04933 "C1" "C"
"824" "SMC-SC6" 324108 4.18086 "B1" "B"
"825" "SMC-SC6" 259383 1.75821 "B2" "B"
"826" "SMC-SC6" 306637 1.20856 "B2" "B"
"827" "SMC-SC6" 311261 1.45923 "B2" "B"
"828" "SMC-SC6" 259372 1.42713 "B2" "B"
"829" "SMC-SC6" 276934 3.05176 "B1" "B"
"830" "SMC-SC6" 263571 1.60846 "B2" "B"
"831" "SMC-SC7" 4030 1.60845 "B2" "B"
"832" "SMC-SC6" 267872 6.18294 "C1" "C"
"833" "SMC-SC7" 3976 6.18294 "C1" "C"
"834" "SMC-SC6" 267952 1.57075 "B2" "B"
"835" "SMC-SC7" 4041 1.57076 "B2" "B"
"836" "SMC-SC6" 306658 1.54471 "B2" "B"
"837" "SMC-SC7" 47182 1.54472 "B2" "B"
"838" "SMC-SC6" 267903 3.74124 "B1" "B"
"839" "SMC-SC7" 4007 3.7411 "B2" "B"
"840" "SMC-SC6" 296772 1.98685 "B2" "B"
"841" "SMC-SC6" 324260 1.26547 "B2" "B"
"842" "SMC-SC7" 66328 1.2655 "B2" "B"
"843" "SMC-SC6" 306527 2.76861 "B2" "B"
"844" "SMC-SC7" 47166 2.76862 "B3" "B"
"845" "SMC-SC7" 4123 1.1651 "B2" "B"
"846" "SMC-SC6" 263687 1.16506 "B2" "B"
"847" "SMC-SC7" 70923 1.18232 "B2" "B"
"848" "SMC-SC6" 306636 1.49391 "B2" "B"
"849" "SMC-SC7" 47253 1.49393 "B2" "B"
"850" "SMC-SC6" 324270 1.97277 "B2" "B"
"851" "SMC-SC7" 66246 1.97257 "B2" "B"
"852" "SMC-SC6" 255369 2.09717 "B2" "B"
"853" "SMC-SC7" 47319 1.28059 "B2" "B"
"854" "SMC-SC7" 22893 2.97419 "B2" "B"
"855" "SMC-SC7" 42249 1.84688 "B2" "B"
"856" "SMC-SC7" 23088 1.23843 "B2" "B"
"857" "SMC-SC7" 70819 2.87953 "B1" "B"
"858" "SMC-SC7" 13613 1.73612 "B1" "B"
"859" "SMC-SC7" 13437 32.0014 "A2" "A"
"860" "SMC-SC7" 18289 2.04436 "B2" "B"
"861" "SMC-SC7" 27663 2.55115 "B1" "B"
"862" "SMC-SC7" 70834 4.91658 "B1" "B"
"863" "SMC-SC7" 4053 2.76925 "B1" "B"
"864" "SMC-SC7" 4004 3.59802 "B3" "B"
"865" "SMC-SC7" 66516 1.0768 "B2" "B"
"866" "SMC-SC7" 13488 2.33266 "B1" "B"
"867" "SMC-SC7" 61719 2.02151 "B1" "B"
"868" "SMC-SC7" 37391 1.50808 "B2" "B"
"869" "SMC-SC7" 66215 1.41175 "B2" "B"
"870" "SMC-SC7" 61749 1.48231 "B2" "B"
"871" "SMC-SC7" 32474 1.19187 "B2" "B"
"872" "SMC-SC7" 61752 2.76903 "B1" "B"
"873" "SMC-SC7" 22852 11.3985 "C1" "C"
"874" "SMC-SC7" 13604 1.39293 "B2" "B"
"875" "SMC-SC7" 52381 1.63574 "B2" "B"
"876" "SMC-SC7" 70849 2.64733 "B2" "B"
"877" "SMC-SC7" 13450 5.20076 "B1" "B"
"878" "SMC-SC7" 8770 1.40426 "B2" "B"
"879" "SMC-SC7" 13467 5.25001 "B1" "B"
"880" "SMC-SC7" 4102 1.49166 "B2" "B"
"881" "SMC-SC7" 42124 3.97026 "B1" "B"
"882" "SMC-SC7" 47098 32.7263 "B1" "B"
"883" "SMC-SC7" 28 3.32496 "B1" "B"
"884" "SMC-SC7" 22956 1.41991 "B2" "B"
"885" "SMC-SC7" 8802 1.1221 "B2" "B"
"886" "SMC-SC7" 61883 1.35362 "B2" "B"
"887" "SMC-SC7" 4023 3.05764 "B2" "B"
"888" "SMC-SC7" 4052 1.53988 "B2" "B"
"889" "SMC-SC7" 52343 1.65837 "B2" "B"
"890" "SMC-SC7" 18266 2.54741 "B2" "B"
"891" "SMC-SC7" 57128 2.51777 "B2" "B"
"892" "SMC-SC7" 52269 3.01736 "B1" "B"
"893" "SMC-SC7" 66231 1.72171 "B1" "B"
"894" "SMC-SC7" 110156 1.96168 "B2" "B"
"895" "SMC-SC7" 87243 1.26329 "B2" "B"
"896" "SMC-SC7" 100687 1.51778 "B2" "B"
"897" "SMC-SC7" 120090 1.59513 "B2" "B"
"898" "SMC-SC7" 115298 1.49121 "B2" "B"
"899" "SMC-SC7" 137610 2.38418 "A1" "A"
"900" "SMC-SC7" 124773 5.23377 "B1" "B"
"901" "SMC-SC7" 79122 2.58383 "B1" "B"
"902" "SMC-SC7" 110210 2.1429 "B2" "B"
"903" "SMC-SC7" 124764 5.32395 "B1" "B"
"904" "SMC-SC7" 137711 1.37955 "B1" "B"
"905" "SMC-SC7" 120060 1.42302 "B2" "B"
"906" "SMC-SC7" 110274 1.31739 "B2" "B"
"907" "SMC-SC7" 95897 3.97238 "B1" "B"
"908" "SMC-SC7" 115375 1.61143 "B2" "B"
"909" "SMC-SC7" 105179 1.75869 "B1" "B"
"910" "SMC-SC7" 115157 4.66685 "B2" "B"
"911" "SMC-SC7" 129111 1.77877 "B1" "B"
"912" "SMC-SC7" 91592 1.45534 "B2" "B"
"913" "SMC-SC7" 110251 1.70804 "B2" "B"
"914" "SMC-SC7" 142115 1.4235 "C1" "C"
"915" "SMC-SC7" 120013 9.76207 "A1" "A"
"916" "SMC-SC7" 95926 2.33097 "B1" "B"
"917" "SMC-SC7" 110088 6.0928 "C1" "C"
"918" "SMC-SC7" 83055 3.32772 "B1" "B"
"919" "SMC-SC7" 75193 1.74057 "B2" "B"
"920" "SMC-SC7" 129184 1.11511 "B2" "B"
"921" "SMC-SC7" 137638 1.49902 "B2" "B"
"922" "SMC-SC7" 120029 4.25255 "B1" "B"
"923" "SMC-SC7" 91475 3.5197 "B1" "B"
"924" "SMC-SC7" 83058 1.52826 "B1" "B"
"925" "SMC-SC7" 133503 1.18686 "B2" "B"
"926" "SMC-SC7" 75282 1.42899 "B1" "B"
"927" "SMC-SC7" 75301 1.40816 "B2" "B"
"928" "SMC-SC7" 75202 2.7412 "B1" "B"
"929" "SMC-SC7" 120110 1.90662 "B2" "B"
"930" "SMC-SC7" 129128 1.78138 "B1" "B"
"931" "SMC-SC7" 120103 1.73583 "B2" "B"
"932" "SMC-SC7" 124939 1.38824 "B2" "B"
"933" "SMC-SC7" 75186 5.10628 "B3" "B"
"934" "SMC-SC7" 120064 1.86045 "B2" "B"
"935" "SMC-SC7" 168755 1.82033 "B2" "B"
"936" "SMC-SC7" 185600 2.07699 "B1" "B"
"937" "SMC-SC7" 149366 1.37572 "B2" "B"
"938" "SMC-SC7" 152986 1.46247 "B1" "B"
"939" "SMC-SC7" 152933 2.55837 "B2" "B"
"940" "SMC-SC7" 160536 1.35534 "B2" "B"
"941" "SMC-SC7" 164713 3.21365 "B1" "B"
"942" "SMC-SC7" 193899 1.81813 "B2" "B"
"943" "SMC-SC7" 177230 1.15588 "B2" "B"
"944" "SMC-SC7" 172957 1.27999 "B3" "B"
"945" "SMC-SC7" 206239 1.19347 "B2" "B"
"946" "SMC-SC7" 177304 1.63262 "B2" "B"
"947" "SMC-SC7" 189703 1.72748 "B2" "B"
"948" "SMC-SC7" 197733 1.27154 "B1" "B"
"949" "SMC-SC7" 177250 1.50538 "B2" "B"
"950" "SMC-SC7" 146283 1.43708 "B2" "B"
"951" "SMC-SC7" 177149 4.85771 "B1" "B"
"952" "SMC-SC7" 152977 1.32787 "B1" "B"
