"field" "id" "period" "subtype" "type"
"110" "SMC-SC3" 88738 1.57204 "C2" "C"
"111" "SMC-SC3" 107366 1.44507 "C1" "C"
"112" "SMC-SC3" 80155 3.90947 "B1" "B"
"113" "SMC-SC3" 88671 1.854 "B1" "B"
"114" "SMC-SC3" 96710 13.7069 "C1" "C"
"115" "SMC-SC3" 80215 2.43198 "B1" "B"
"116" "SMC-SC3" 55117 1.37356 "B1" "B"
"117" "SMC-SC3" 88650 3.26238 "B1" "B"
"118" "SMC-SC3" 107308 1.25641 "B2" "B"
"119" "SMC-SC3" 96765 1.61093 "B1" "B"
"120" "SMC-SC3" 92891 1.37984 "B2" "B"
"121" "SMC-SC3" 92875 1.61079 "B2" "B"
"122" "SMC-SC3" 104121 1.98746 "B1" "B"
"123" "SMC-SC3" 100628 1.69913 "B2" "B"
"124" "SMC-SC3" 107339 2.40342 "B2" "B"
"125" "SMC-SC3" 92883 1.60311 "B2" "B"
"126" "SMC-SC3" 80143 10.8829 "C1" "C"
"127" "SMC-SC3" 71387 4.89677 "B1" "B"
"128" "SMC-SC3" 57549 31.9309 "B1" "B"
"129" "SMC-SC3" 71356 14.4288 "C1" "C"
"130" "SMC-SC3" 75872 2.13803 "B1" "B"
"131" "SMC-SC3" 80217 1.95386 "B1" "B"
"132" "SMC-SC3" 96761 1.72305 "B2" "B"
"133" "SMC-SC3" 84481 4.65421 "B1" "B"
"134" "SMC-SC3" 157140 1.90354 "C1" "C"
"135" "SMC-SC3" 130290 2.45025 "B2" "B"
"136" "SMC-SC3" 148864 1.67162 "B1" "B"
"137" "SMC-SC3" 161229 1.40078 "B2" "B"
"138" "SMC-SC3" 134576 3.07164 "B2" "B"
"139" "SMC-SC3" 139465 1.96933 "B2" "B"
"140" "SMC-SC3" 139412 2.47351 "B2" "B"
"141" "SMC-SC3" 161100 2.14759 "B1" "B"
"142" "SMC-SC3" 139415 2.17576 "B1" "B"
"143" "SMC-SC3" 161207 1.31829 "C1" "C"
"144" "SMC-SC3" 152913 1.90993 "B1" "B"
"145" "SMC-SC3" 152954 2.02656 "B1" "B"
"146" "SMC-SC3" 144425 1.76733 "B1" "B"
"147" "SMC-SC3" 172477 1.313 "B2" "B"
"148" "SMC-SC3" 113282 1.20545 "B2" "B"
"149" "SMC-SC3" 148895 1.81122 "B2" "B"
"150" "SMC-SC3" 130215 7.7216 "C1" "C"
"151" "SMC-SC3" 144499 1.47518 "B3" "B"
"152" "SMC-SC3" 139460 1.48916 "B2" "B"
"153" "SMC-SC3" 144487 1.55665 "B2" "B"
"154" "SMC-SC3" 152988 1.579 "B1" "B"
"155" "SMC-SC3" 172382 2.16006 "B1" "B"
"156" "SMC-SC3" 134578 1.68036 "B2" "B"
"157" "SMC-SC3" 172452 1.93497 "B1" "B"
"158" "SMC-SC3" 130223 6.30058 "B1" "B"
"159" "SMC-SC3" 168962 2.5775 "B1" "B"
"160" "SMC-SC3" 165218 1.753 "B2" "B"
"161" "SMC-SC3" 122139 5.79395 "A2" "A"
"162" "SMC-SC3" 130299 1.37192 "B2" "B"
"163" "SMC-SC3" 169049 1.46884 "B2" "B"
"164" "SMC-SC3" 169067 1.57936 "B2" "B"
"165" "SMC-SC3" 148748 8.06115 "C1" "C"
"166" "SMC-SC3" 122249 1.6385 "B2" "B"
"167" "SMC-SC3" 152951 1.9876 "C1" "C"
"168" "SMC-SC3" 139369 8.86036 "B2" "B"
"169" "SMC-SC3" 148798 2.02003 "B2" "B"
"170" "SMC-SC3" 134678 1.3388 "B2" "B"
"171" "SMC-SC3" 144529 1.2947 "B2" "B"
"172" "SMC-SC3" 125897 2.0563 "B1" "B"
"173" "SMC-SC3" 130423 1.21766 "B2" "B"
"174" "SMC-SC3" 172465 1.67772 "B2" "B"
"175" "SMC-SC3" 139563 1.87848 "B2" "B"
"176" "SMC-SC3" 213132 3.2184 "B2" "B"
"177" "SMC-SC3" 202934 1.40272 "B2" "B"
"178" "SMC-SC3" 178185 3.04334 "B2" "B"
"179" "SMC-SC3" 198018 1.58062 "B2" "B"
"180" "SMC-SC3" 197915 9.14502 "C1" "C"
"181" "SMC-SC3" 189129 8.67071 "C1" "C"
"182" "SMC-SC3" 202785 2.74444 "B2" "B"
"183" "SMC-SC3" 202766 4.34088 "B1" "B"
"184" "SMC-SC3" 202734 4.51151 "B1" "B"
"185" "SMC-SC3" 197911 10.4868 "C1" "C"
"186" "SMC-SC3" 208529 2.19605 "B1" "B"
"187" "SMC-SC3" 221614 1.73213 "B2" "B"
"188" "SMC-SC3" 226093 1.67881 "B1" "B"
"189" "SMC-SC3" 198021 1.64819 "B2" "B"
"190" "SMC-SC3" 198087 1.68551 "B2" "B"
"191" "SMC-SC3" 208570 1.24114 "B2" "B"
"192" "SMC-SC3" 226219 1.42663 "B2" "B"
"193" "SMC-SC3" 226065 1.72137 "B2" "B"
"194" "SMC-SC3" 197972 1.8591 "B2" "B"
"195" "SMC-SC3" 185073 1.24404 "B1" "B"
"196" "SMC-SC3" 226072 1.77932 "B2" "B"
"197" "SMC-SC3" 208462 1.71896 "B3" "B"
"198" "SMC-SC3" 202853 2.5992 "B1" "B"
"199" "SMC-SC3" 234693 1.24001 "B2" "B"
"200" "SMC-SC3" 184987 1.59255 "B2" "B"
"201" "SMC-SC3" 202765 4.50592 "B1" "B"
"202" "SMC-SC3" 230499 1.91477 "B1" "B"
"203" "SMC-SC3" 213197 1.86927 "B2" "B"
"204" "SMC-SC3" 184934 2.29836 "B1" "B"
"205" "SMC-SC3" 202913 1.93489 "B1" "B"
"206" "SMC-SC3" 178269 1.6175 "B2" "B"
"207" "SMC-SC4" 62 1.61756 "B2" "B"
"208" "SMC-SC4" 11348 1.54752 "B2" "B"
"209" "SMC-SC3" 198055 1.54745 "B1" "B"
"210" "SMC-SC4" 18836 1.43799 "B2" "B"
"211" "SMC-SC3" 202810 1.43797 "B2" "B"
"212" "SMC-SC3" 217715 1.45733 "B2" "B"
"213" "SMC-SC3" 221613 1.82522 "B2" "B"
"214" "SMC-SC3" 217694 1.57688 "B2" "B"
"215" "SMC-SC4" 29283 1.57688 "B2" "B"
"216" "SMC-SC4" 14944 1.21115 "B3" "B"
